,text,language,detected_language
149,Arms akimbo,English,en
150,In a cleft stick,English,en
151,From sea to shining sea,English,en
152,Nou is jy regte Slim Jan vandat jou twak nie meer nat is nie!,Afrikaans,af
153,Smoke and mirrors,English,en
154,Wolf in sheep's clothing,English,en
155,Rumpy-pumpy,English,en
156,A dish fit for the gods,English,en
157,So maklik soos brood en botter.,Afrikaans,af
158,I'll be there with bells on,English,en
159,A little bird told me,English,en
160,Japie my skapie jy hou my hart se punt in die holte van jou skaapwagters-hande.,Afrikaans,af
161,Turn of phrase,English,en
162,Pipe dream - A,English,en
163,The die has been cast,English,en
164,Don't go there,English,en
165,Boogie-woogie,English,en
166,In like Flynn,English,en
167,By gum,English,en
168,Let your hair down,English,en
169,The heebie-jeebies,English,en
170,Aan alles komt een eind.,Nederlands,nl
171,Word association football,English,en
172,Wraak maak jou gelyk met jou vyand. Vergifnis plaas jou hoër as hy.,Afrikaans,af
173,Charmed life,English,en
174,Vir dertig stukke silwer.,Afrikaans,af
175,In trouble,English,en
176,In the red,English,en
177,Geen spiesen maacht so diepe wonden als achterklap en boose monden.,Afrikaans,nl
178,Bunch of fives - A,English,en
179,Broad in the beam,English,en
180,"Sielkundiges se manier van groet: “Dit gaan goed met JOU, hoe gaan dit met my?”",Afrikaans,nl
181,Knuckle down,English,en
182,Birds and the bees - The,English,en
183,Get underway,English,en
184,Riding shotgun,English,en
185,Like the clappers,English,en
186,Get one's dander up,English,en
188,A nest of vipers,English,en
189,Feather in one's cap - A,English,en
190,Take potluck,English,en
191,Put your best foot forward,English,en
192,Nuuskierige agies hoort in die wolwehok!,Afrikaans,af
193,What you see is what you get - wysiwyg,English,en
194,I'll go to the foot of our stairs,English,en
195,Ring-fencing,English,en
196,Wouldn't touch with a barge-pole,English,en
197,On cloud nine,English,en
198,Skid row,English,en
199,Carbon-copy,English,en
200,"Kind, onthou net één ding: Jy kon nie jou ouers en voor-ouers kies nie.",Afrikaans,af
201,Save one's bacon,English,en
202,Knight in shining armour,English,en
203,The collywobbles,English,en
204,Best laid schemes of mice and men - The,English,en
205,Fellow traveller,English,en
207,"Frailty, thy name is woman",English,en
208,Toe Jors sy eks sien by die kroegtoonbank spring hy knipmes-om.,Afrikaans,af
210,"Wat jou lot ookal in die lewe is, bou iets daarop.",Afrikaans,af
211,There's no such thing as a free lunch (Tanstaafl),English,en
212,Fashion victim,English,en
213,A place for everything and everything in its place,English,en
214,Hy lag al die pad bank toe.,Afrikaans,af
215,My husband and I,English,en
216,Dis nie ‘n pyp dagga werd nie.,Afrikaans,af
217,"“Dis jy wat met haar getjoing-tjoing het en nie ek nie.” – Mikro, Gonnakolk",Afrikaans,af
218,Loose lips sink ships,English,en
219,Know which way the wind blows,English,en
220,Chinese whispers,English,en
221,Gierigheid is die wortel van alle kwaad.,Afrikaans,nl
222,Cat out of the bag - Let the,English,en
223,Selfs God se engele kan ons nie red as ons gedurig ons eie kop wil volg nie.,Afrikaans,af
224,So tuis wees soos 'n vis in die water.,Afrikaans,en
225,The proof of the pudding is in the eating,English,en
226,Die blerrie tweegesig blaf met die honde en huil met die wolwe.,Afrikaans,af
227,A diamond is forever,English,en
228,"Fie, foh, fum, I smell the blood of an Englishman",English,en
229,Aide-mémoire,English,fr
230,Better half,English,en
231,Hell or high water,English,en
232,Ministering angel shall my sister be - A,English,en
233,As fine as frog's hair,English,en
234,"Age cannot wither her, nor custom stale her infinite variety",English,en
235,Three strikes and you are out,English,en
237,A man after my own heart,English,en
238,Baby boomer,English,en
239,Never-never land,English,en
240,La dolce vita,English,it
241,Die bottel goed aanspreek.,Afrikaans,af
242,Thorn in the flesh,English,en
243,Die pad is snuif tussen Soebatsfontein en Koingnaas.,Afrikaans,af
244,Open season,English,en
245,Sy gewete is toegeskroei.,Afrikaans,af
246,All the tea in China - Not for,English,en
247,Full tilt,English,en
248,Die goudpot aan die einde van die reënboog.,Afrikaans,af
249,Twelve good men and true,English,en
250,Bacon - Bring home the,English,en
251,Children should be seen and not heard,English,en
252,Katy bar the door,English,en
253,Walk the walk,English,en
254,‘n Vergenoegde mens kan die natuurskoon langs ‘n pad geniet.,Afrikaans,af
255,Geleenthede gaan by mense verby omdat dit ‘n oorpak aan het en na werk lyk!!!,Afrikaans,af
256,Below the salt,English,en
257,Get a word in edgeways,English,en
258,First water,English,en
259,Going for a burton,English,en
260,Chinless wonder,English,en
261,Call of the wild - The,English,en
262,Fight fire with fire,English,en
263,Generation X,English,en
264,Heavy metal,English,en
265,Dit is met geen goud te betaal nie.,Afrikaans,nl
266,Davy Jones' locker,English,en
267,In die gras byt.,Afrikaans,en
268,Vanaand braai ons weer ‘n slag skaalvleis!,Afrikaans,af
269,Hoity-toity,English,en
270,A fool's paradise,English,en
271,Card-sharp,English,en
272,Shakespeare (phrases and sayings of),English,en
273,Usual suspects - The,English,en
274,Amber nectar,English,en
275,Cotton on to,English,en
276,"Wanneer die moeilikheid so groot soos ‘n berg is, klim die wyse bo-oor. Die dwaas graaf ‘n tonnel onderdeur en bly binne vassteek. Die lafaard draai om.",Afrikaans,af
277,Crocodile tears,English,en
278,Die mannetjie kwyl agter rok-goed aan.,Afrikaans,af
280,Where there's muck there's brass,English,en
281,Piggyback,English,en
282,Savoir faire,English,fr
283,In spades,English,en
284,By die verkeerde boom blaf.,Afrikaans,af
285,Man does not live by bread alone,English,en
286,"‘n Mens moet onthou WIE die tafel gedek het, WIE die kos voorberei het.",Afrikaans,nl
287,"Broke - if it ain't, don't fix it",English,en
288,Jobs for the boys,English,en
289,Red in tooth and claw,English,en
290,Put the mockers on,English,en
291,What's not to like?,English,en
292,‘n Blaadjie uit iemand se boek neem.,Afrikaans,nl
293,Op die koop toe.,Afrikaans,nl
294,(It) fell off the back of a truck,English,en
295,Cookie cutter,English,en
296,Hard hearted,English,en
297,Bill Stickers is innocent,English,en
298,Carbon footprint,English,en
299,Geld wat sleg is maak krom wat reg is.,Afrikaans,af
300,Die rol van Ma-wees is moontlik die belangriste beroep wat enige vrou kan be-oefen.,Afrikaans,af
301,Ankle biter,English,en
302,‘n Mens kan met ‘n bokwa en ‘n lang span osse daarin draai.,Afrikaans,nl
303,Cold shoulder,English,en
304,"If you can't stand the heat, get out of the kitchen",English,en
305,A house divided against itself cannot stand,English,en
306,History is bunk,English,en
307,A stone's throw,English,en
308,Season of mists and mellow fruitfulness,English,en
309,Mumbo jumbo,English,en
310,Gone for a burton,English,en
311,"Die grootste diens wat aan enige land  bewys kan word, is om ‘n nuttige plant tot sy landboukultuur toe te voeg.",Afrikaans,af
313,Flavor of the month,English,en
314,Hulle breek nie brandhout van dieselfde tak nie.,Afrikaans,af
315,Nice as ninepence,English,en
316,Game of two halves,English,en
317,Take umbrage,English,en
318,Fathom out,English,en
319,"Iets wat bietjie goed is, is nie goed genoeg nie. Matigheid in humeur is altyd ‘n deug, maar matigheid in beginsel, is altyd ‘n ondeug.",Afrikaans,af
320,Blast from the past - A,English,en
321,Eye candy - see ear candy,English,en
322,Twee vliegen in één klap slaan.,Nederlands,nl
323,Sy tand koggel hom.,Afrikaans,af
324,"Celeste Herman: “‘n Mooi uiterlike vang die oog vir ‘n wyle, maar ‘n mooi innerlike word ‘n leeftyd deur die hart vasgevang.”",Afrikaans,af
325,Ek is Piet Verdriet op Moedverloor se vlakte vandag.,Afrikaans,af
326,Camera cannot lie - The,English,en
327,Beauty is in the eye of the beholder,English,en
328,Adam's ale,English,en
330,"Makkelijker gezegd, dan gedaan.",Nederlands,nl
331,"As jyself dink en doen, is jy beperk tot jouself. As jy LEES en DINK en DOEN, is die wye wêreld jou helper.",Afrikaans,af
332,Up to snuff,English,en
333,Prick up your ears,English,en
334,Gung ho,English,en
335,"Et tu, Brute",English,fr
336,Rosie Lea,English,en
337,Dit is die klein botteltjies wat die groot gif het.,Afrikaans,af
338,Cut off your nose to spite your face,English,en
339,Jump the shark,English,en
340,“Byt jy weer borrels.”  – ingestuur deur Lödveteig Nan,Afrikaans,af
341,Ends of the earth - The,English,en
342,Baker's dozen,English,en
343,Chit-chat,English,en
344,Een gegeven paard moet je niet in de bek kijken.,Nederlands,nl
345,Long in the tooth,English,en
346,My bad,English,en
347,Hy dink hy kan biltong saamneem.,Afrikaans,af
348,Bone up on,English,en
349,Stool pigeon,English,en
350,White as snow,English,en
351,Carte blanche,English,fr
352,"Pasop! Wat jy met jou hande opbou, moet jy nie met jou agterent omstamp nie.",Afrikaans,af
353,About turn,English,en
354,Beter voorkomen dan genezen.,Nederlands,nl
355,Geduld is ‘n stadige manier om jou moer te strip.,Afrikaans,nl
356,Jack - phrases that include the name Jack,English,en
357,Hard lines,English,en
358,Tail wagging the dog - The,English,en
359,Pester power,English,en
360,"Hoe beter man jy is, hoe jammerder is dit van die fout wat jy het. Dis op die wit papier wat die swart klad duidelik wys.",Afrikaans,af
361,Soort zoekt soort.,Nederlands,nl
362,Bowled a maiden over,English,en
363,Stump up,English,en
364,Khyber pass,English,en
365,Twee mossies vir ‘n stuiwer.,Afrikaans,af
366,Hy is ‘n ongeslypte diamant.,Afrikaans,af
367,Crack of doom - The,English,en
368,Nip and tuck,English,en
369,Montezuma's Revenge,English,en
370,Nine days' wonder,English,en
372,Lick into shape,English,en
373,So maklik soos brood en botter.,Afrikaans,af
374,According to Hoyle,English,en
375,Piece of the action,English,en
376,A legend in one's own lifetime,English,en
377,It's better to give than to receive,English,en
378,"Selfs in my oupa-grootjie se tyd, was daar iets wat jou aan die slaap kon kry. Hulle het dit werk genoem….",Afrikaans,af
379,Politically correct,English,en
380,Under your hat - Keep it,English,en
381,I'll have your guts for garters,English,en
382,Kiss and tell,English,en
383,Go the whole hog,English,en
384,"‘n Man kan nog per ongeluk op jou tone trap, maar as hy op jou kop trap, is dit moedswillig.",Afrikaans,nl
385,The Devil to pay,English,en
386,Play by ear,English,en
387,Fruits of your loins,English,en
388,Proverbs - A list of,English,en
389,Bed of roses,English,en
390,Gilt off the gingerbread,English,en
391,Cordon bleu,English,fr
392,Last straw - The,English,en
393,Sorry sight,English,en
394,All in all,English,en
395,What's in a name? That which we call a rose by any other name would smell as sweet,English,en
396,"Hoe dieper ik poog te delven, hoe meer ik bederf ontmoet.",Afrikaans,nl
397,Multitude of sins,English,en
398,Shit end of the stick - The,English,en
399,Stick in the mud,English,en
400,The jury is still out,English,en
401,Hy laat hom nie met blou ertjies op loop jaag nie.,Afrikaans,af
402,"To be or not to be, that is the question",English,en
403,Langnek-Kaatjie soen.,Afrikaans,af
404,It's not rocket science,English,en
405,Al die paaie lei na Rome en die kronkelpaaie na ons drome.,Afrikaans,af
406,Apple of my eye - The,English,en
407,The best laid schemes of mice and men,English,en
408,Big Apple - The,English,en
409,Keepy-uppy,English,en
410,Dit kom nog uit Noag se ark saam met Metusalem.,Afrikaans,af
411,"Om elke dag te lewe asof dit jou laaste is – nooit oorhaastig nie, nooit ongevoelig nie, nooit met aansit nie – dit is die perfekte karakter.",Afrikaans,af
412,Faint-hearted,English,en
413,Push the boat out,English,en
414,More honoured in the breach than in the observance,English,en
415,Mad as a hatter,English,en
416,Point to point,English,en
417,Bewaar jou gebeente!,Afrikaans,af
418,Folk Etymology - The Nonsense Nine,English,en
419,Ek is nou die baas en jy is Klaas met ou Hansie die kneg.,Afrikaans,af
420,Rat arsed,English,en
421,"“Die koringkorrels sjor op die dorsvloer neer.” – Boerneef, Boplaas",Afrikaans,af
422,Piping hot,English,en
423,Jump on the bandwagon,English,en
424,"Hasta la vista, baby",English,es
425,Let the cat out of the bag,English,en
426,Jack in the box,English,en
427,Go to the dogs,English,en
428,Mutt's nuts - The,English,en
429,Devil take the hindmost - The,English,en
430,Brass tacks - get down to,English,en
431,Daar is geen opregter liefde as die liefde vir kos nie.,Afrikaans,af
432,Caught red-handed,English,en
433,"U straf is te swaar vir my op aarde. Jy sal word ‘n doellose swerwer op aarde, jou handewerk sal vervloek wees. Die aarde wat jy bewerk sal niks oplewer nie.",Afrikaans,af
434,Powers that be - The,English,en
435,Die wonder van ‘n nuwe oggend is dat dit ons die geleentheid gee om VOOR TE BEGIN!,Afrikaans,af
436,"As jy by iemand se vuur gaan sit, moet jy eers kyk van watter kant die wind waai.",Afrikaans,af
437,Mother country,English,en
438,Iemand afkam.,Afrikaans,nl
439,Cut to the chase,English,en
440,Household words,English,en
441,Help jou buurman om sy las te dra en jy sal jou verwonder hoveel ligter jou eie word.,Afrikaans,af
442,Third time lucky,English,en
443,Derring-do,English,en
444,Hy kedoem sy kitaar so nou en dan.,Afrikaans,af
445,Start from scratch,English,en
446,Marital aid,English,en
447,On Carey Street,English,en
448,Every cloud has a silver lining,English,en
449,Good man is hard to find - A,English,en
450,Mad as a march hare,English,en
452,"There but for the grace of God, go I",English,en
453,Dit is peper duur.,Afrikaans,nl
454,Off the record,English,en
455,Oude liefde roest niet.,Nederlands,nl
456,The road less travelled,English,en
457,Alive and kicking,English,en
458,Ma’s en huisvroue is die enigste werkers wat nie gereelde vrye tye kry nie. Hulle is die groot vakansielose klas.,Afrikaans,af
459,You'll wonder where the yellow went when you brush your teeth with Pepsodent,English,en
460,Famous for fifteen minutes,English,en
461,Fall guy,English,en
462,Wild goose chase,English,en
463,Nice kettle of fish,English,en
464,Meat and drink,English,en
465,Die ding lyk maar tonteldoek.,Afrikaans,nl
466,"Wie kaatst, moet de bal terug verwachten.",Nederlands,nl
467,Billy-o - Like,English,en
468,Nitty-gritty,English,en
469,"Vroeg begonnen, veel gewonnen.",Nederlands,nl
470,Pleased as Punch,English,en
471,Point-and-click,English,en
472,"He who can, does; he who cannot, teaches",English,en
473,Jy kan nie uitdeel wat jy nie het nie.,Afrikaans,af
474,All things must pass,English,en
475,A safe pair of hands,English,en
476,Something for the weekend sir?,English,en
477,Words ending in gry,English,en
479,Talk the talk,English,en
480,More bang for your buck,English,en
481,Not for all the tea in China,English,en
482,The whole nine yards,English,en
483,Fanny Adams - Sweet,English,en
484,Miss is as good as a mile,English,en
485,Loop soos ‘n hen wat nes soek.,Afrikaans,af
486,Not rocket science,English,en
487,"As jy nie hande het, kan jy nie ’n vuis maak nie.",Afrikaans,af
488,"All singing, all dancing",English,en
489,Grind to a halt,English,en
490,Drop-dead gorgeous,English,en
491,Dark side - The,English,en
492,‘n Mens moet nooit lag as ‘n dief op ‘n fiets deur ‘n trein getrap word nie. Dit kan moontlik jou fiets wees.,Afrikaans,af
493,I haven't got a clue,English,en
494,No-brainer,English,en
495,Lackadaisical,English,en
496,Two cents worth,English,en
497,Geen woorden maar daden.,Nederlands,nl
498,#ColouredSpreekWoorde was vroeër die week die gewildste onderwerp op Twitter in Suid-Afrika. Ons het so ‘n paar geskraap << KLIK op die skakel vir Coloured Spreekwoorde,Afrikaans,af
499,Mighty oaks from little acorns grow,English,en
500,Back to square one,English,en
501,Here lies one whose name is writ in water,English,en
502,"Dis ‘n tragedie as daar iets in jou sterf, terwyl jy nog lewe.",Afrikaans,af
503,Keep your chin up,English,en
504,Pig in a poke,English,en
505,Brass monkey weather,English,en
506,"Die manier om ‘n goeie reputasie te kry, is om eerlik te streef na die beeld wat jy wil wees.",Afrikaans,af
507,All fingers and thumbs,English,en
508,Fall off the back of a lorry,English,en
509,In a quandary,English,en
510,Put your nose out of joint,English,en
511,"As jy skop, kan jy nie trek nie en as jy trek, kan jy nie skop nie.",Afrikaans,af
512,Lock stock and barrel,English,en
513,The face that launched a thousand ships,English,en
514,Red letter day,English,en
515,Red sky at night ...,English,en
516,Moet nooit ‘n apologie met ‘n verskoning bederf nie.,Afrikaans,af
517,Beat a hasty retreat,English,en
518,Third degree - The,English,en
519,Mickey Finn,English,en
520,"Moenie wag dat iets vorendag km nie, vat ‘n graaf en soek die skat.",Afrikaans,af
521,Biblical phrases,English,en
522,The moving finger writes,English,en
523,Truth is stranger than fiction,English,en
524,Staan of hy geld in die bank het.,Afrikaans,af
525,Ganse aanja.,Afrikaans,af
526,A load of cobblers,English,en
527,Hou jy van hospitaalkos?  [bydrae: Herman Janse van Rensburg],Afrikaans,af
528,"As is en was, nou nie daar was of was het is gebly en daar was nooit ‘n by wat was, dan was was mos is gewees.",Afrikaans,nl
529,Face that launched a thousand ships - The,English,en
530,Finger lickin good,English,en
531,Red herring,English,en
532,Cat may look at a king - A,English,en
533,Je moet niet op één paard wedden.,Nederlands,nl
534,A norange,English,en
535,Ginned up,English,en
536,Koerland se vleiseter is 'n lui kalant en so uitgeslape soos my prokureur nie kan droom om te wees.,Afrikaans,af
537,Last but not least,English,en
538,Show a leg - see shake a leg,English,en
540,So bang soos ‘n Bolander vir donderweer.,Afrikaans,af
541,Draw your horns in,English,en
542,Apie kyk vir kerriekos!,Afrikaans,lt
543,Geld groei nie aan bome nie.,Afrikaans,af
544,There are three kinds of lies...,English,en
545,Top drawer,English,en
546,Hy het die druiwekar gery.,Afrikaans,af
547,All you can eat,English,en
548,A fool and his money are soon parted,English,en
549,Misery acquaints a man with strange bedfellows,English,en
550,"Once more unto the breach, dear friends, once more",English,en
551,Love that dare not speak its name - The,English,en
552,"Wie a zegt, moet ook b zeggen.",Nederlands,nl
553,The Crapper,English,en
554,Saved by the bell,English,en
555,Morbid obesity,English,en
556,Blue-plate special,English,en
557,Behind the eight ball,English,en
558,Titfer,English,en
559,A sight for sore eyes,English,en
560,Never the twain shall meet,English,en
561,By the skin of your teeth,English,en
562,Hush puppies,English,en
563,Ou bokke pluk die hoogste doringpeule.,Afrikaans,af
564,Dit gaan maar patats.,Afrikaans,nl
565,Absolute power corrupts absolutely,English,en
566,Butt end of the stick - The,English,en
567,Go to the foot of our stairs,English,en
568,Common sense,English,en
569,Fait accompli,English,fr
570,Senior burgers: Vraag: “Wat maak julle heeldag?” Antwoord: “Ons soek ons goed en probeer onthou wat ons vergeet het!!!!”,Afrikaans,nl
571,Die gekke kry die kaarte.,Afrikaans,af
572,Loop gee die hoenders kos!,Afrikaans,af
573,"Om vas te staan wanneer jy iets weet en toe te gee dat jy soms iets nie weet nie, dit is KENNIS.",Afrikaans,af
574,Bietjie baard maar klipsteenhard.,Afrikaans,af
575,Give a wide berth,English,en
576,Thing of beauty is a joy forever - A,English,en
577,'Scuse me while I kiss this guy,English,en
578,Cool as a cucumber,English,en
579,Die druiwestokke werk met hom.,Afrikaans,af
580,One's heart's content,English,en
581,Spin doctor,English,en
582,Double Dutch,English,en
583,Sy binneleisel is te kort.,Afrikaans,af
584,Monty - The full,English,en
585,Salad days,English,en
586,A word in your shell-like,English,en
587,Daylight robbery,English,en
588,As old as Methuselah,English,en
589,Just deserts,English,en
590,Hot-blooded,English,en
591,Hulle krap op plekke waar hulle nie jeuk nie en ander jeuk weer op plekke waar hulle nie kan krap nie!,Afrikaans,af
592,A shot in the arm,English,en
593,Buggins' turn,English,en
594,"Kritiek is iets wat jy kan vryspring deur NIKS te sê nie, NIKS te doen nie en NIKS te wees nie.",Afrikaans,af
595,"GOLF - Gentlemen only, ladies forbidden",English,en
596,Know your onions,English,en
597,Dicky-bird - Not a,English,en
598,"Brandewyn en vroueraad is goeie dinge, maar jy moet dit bietjies-bietjies gebruik.",Afrikaans,af
599,Rock and roll,English,en
600,One over the eight,English,en
601,Acid test,English,en
602,Not worth the candle,English,en
603,(The) sky's the limit,English,en
604,Jors se gat stamp.,Afrikaans,en
605,Ek word alte ongelukkig as ‘n grootman so inkokkewiet werk.,Afrikaans,af
606,In limbo,English,en
607,Cop an attitude,English,en
608,"As jy dan dwing om te val, doen dit terwyl jy nog op die onderste trappie is.",Afrikaans,af
609,Yellow Peril,English,en
610,Sticky wicket,English,en
611,The great unwashed,English,en
612,A chain is only as strong as its weakest link,English,en
613,Beef and reef,English,en
614,The third degree,English,en
615,Stiff upper lip,English,en
616,Hunky-dory,English,en
617,Een gewaarschuwd mens telt voor twee.,Nederlands,nl
618,Save face,English,en
619,Horse's mouth - straight from the,English,en
620,Uneasy lies the head that wears a crown,English,en
621,Load of cobblers,English,en
622,To boldly go where no man has gone before,English,en
623,One swallow doesn't make a summer,English,en
624,Belle of the ball,English,en
625,"‘n Druppel gal is in die soetste wyn; ‘n Traan op elk vrolik snaar; in elke lag ‘n sug van pyn, in elke roos ‘n dowwe blaar. Gewis is alles net ‘n grap! Ons speel in die komedie mee; geblinddoek met ‘n lanferlap; wat selfs die son ‘n skadu gee. Die een wat deur die nag ons pret beloer en laaste lag – is Skoppenboer!",Afrikaans,af
626,Quality time,English,en
627,Walk free,English,en
628,(A) bigger bang for your buck,English,en
629,Head over heels,English,en
630,Faith will move mountains,English,en
631,A countenance more in sorrow than in anger,English,en
632,Je moet geen slapende honden wakker maken.,Nederlands,nl
633,Laughing-stock,English,en
634,Speak of the Devil,English,en
635,Turn up for the books,English,en
636,Pig and whistle,English,en
637,Three sheets to the wind,English,en
638,Hy doen dermwerk.,Afrikaans,af
639,Bats in the belfry,English,en
640,As happy as a clam,English,en
641,Big fish in a small pond - A,English,en
642,Across the board,English,en
643,We have seen better days,English,en
644,Sex and shopping,English,en
645,For every thing there is a season,English,en
646,The fat of the land,English,en
647,Foregone conclusion,English,en
648,Mea culpa,English,la
649,The floozie in the jacuzzi,English,en
650,Two heads are better than one,English,en
651,Wooden hill to Bedfordshire,English,en
652,It's all grist to the mill,English,en
653,Hy druk almanakke.,Afrikaans,af
654,"Die taal van die veroweraar in die mond van die verowerde, is die taal van slawe.",Afrikaans,af
655,Beat swords into ploughshares,English,en
657,Die Gautengers lê witpens op Kampsbaai se strand.,Afrikaans,af
658,"Ledigheid is die duiwel se oorkussing, lig jou alie en kry jouself in rat.",Afrikaans,af
659,Raze to the ground,English,en
660,No quarter given,English,en
661,I have nothing to declare but my genius,English,en
662,Ek sal kan doen met ‘n miljoen.,Afrikaans,af
663,Angry young man,English,en
664,Tot by oom Daantjie in die kalwerhok.,Afrikaans,af
665,Senior citizen,English,en
666,Rose by any other name would smell as sweet - A,English,en
